Адрианополь	Эдирне		Эдирне
Адрианополь	Эдирне		
Акатуй			
Александровское	DER		DER
Алма-Ата			
Алма-Ата. Общежитие ЦОКС, коридор	Алма-Ата		
Алупка			
Альтенбург			
Амбуаз			
Англия			
Андорра			
Антоновка	DER		DER
Антоповка	CHECK	Скорее всего Антоновка. В xx\briusov\brius-0490. Но в brius-0463 - Антоновка. Заменить в файле с текстом?   	ОПЕЧАТКА: SEE: Антоновка?
Арбат, 49	IN: Москва		IN: Москва
Арлесгейм	Арлесхайм. IN: Базель, Швейцария		Арлесхайм, Базель, Швейцария
Архангельск			
Ассерн	Асари, Латвия		Асари, Латвия
Ассизи			
Афины			
Бад-Наугейм	Бад-Наухайм		Бад-Наухайм
базар. 	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
базар. Гостиница	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Базель			
Байрейт	Байройт		Байройт
Байрейт	Байройт		
Баку			
Балаклава			
Балашов			
Балдынское ущелье	CHECK		CHECK
Балтика			
Барнаул			
Батум	Батуми		Батуми
Батум	Батуми		
Бахчисарай			
Бахчисарайский дворец			
Бежецк			
Бежецк. Петербург. Вагон	Бежецк. Петербург		
Безенчуг. Самара	Безенчук		Безенчук
Белая, станция	DER; IN:Иркутская область		DER; IN:Иркутская область?
Белград			
Белкино	DER; IN:Калужская область		DER; IN:Калужская область
Беломорск. Молотов	Беломорск. Пермь		Молотов => Пермь
Белосток. Варшава			
Бельбек. Севастополь			
Бельское Устье			
берег. море. Аркадия	Одесса		Одесса
берег.Люцернское озеро	Люцернское озеро		
Беркендаль 	UNKNOWN		UNKNOWN
Берлин			
Биарица	Биарриц		Биарриц
Биарриц			
Бобровка	DER		DER
Богдановщина	IN: Смоленская область		IN: Смоленская область
Боголюбы	IN: Волынская область	xx\bely\bely-319 , 320, 324	IN: Волынская область?
Богородицкое. Орловская губерния	Хотынецкий район, Орловская область		Хотынецкий район, Орловская область
Богородское	DER		DER
Болшево. Комната 7	Королёв. Болшево		IN:Королёв
Больница	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Больница им. Ленина. Гавань	Большой проспект В. О., 85. IN: Петербург		Петербург, Большой проспект В. О., 85
Больше-Нарымск	Улькен-Нарын		Улькен-Нарын
Большой Карай	Большой Карай, Романовский район, Саратовская область		Большой Карай, Романовский район, Саратовская область
Боржом	Боржоми		Боржоми
Боровое	Бурабай, Акмолинская область		Бурабай, Акмолинская область
Бородино			
Ботанический сад	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Братск			
Брезины. Варшава. Лович	Бжезины. Варшава. Лович		Брезины=>Бжезины
Бровары			
Брюссель			
Брянский фронт	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Буг	CHECK	CHECK	Западный или Южный?
Булонский лес			
Бургас			
Буркова	DER		SEE:Бурково?
Бурково	DER		DER
Бутырки, деревня под Карачевом	IN: Брянская область		IN: Брянская область
Буюк-дере	Бююкдере. IN: Стамбул		Бююкдере IN: Стамбул
вагон	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Вагон. Буда-Уза	Буда-Кошелево. Уза		Буда => Буда-Кошелево; Уза
Вагон. Москва. Рига	Москва. Рига		
Вагон. Петербург. Кострома	Петербург. Кострома		
Вагон. Эвакуация	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Вайвара			
Варшава			
Васильевское	DER		DER
Васильсурск			
Ведено			
Веймар			
Веймар. Вокзал	Веймар		
Веймарн			
Вел. Океан	Тихий Океан		Тихий Океан
Венеция			
Верея			
Верхнеудинск	Улан-Удэ		Улан-Удэ
Вильно	Вильнюс		Вильнюс
Вильно	Вильнюс		
Владивосток			
Владивосток. Тяньцзинь			
Владивосток. Хабаровск			
Владикавказ			
Воеводина. село Прхово			
Вокзал. Октябрьская ж/д. Москва	Ленинградский вокзал. IN: Москва		Ленинградский вокзал IN: Москва
Волга			
Волма	CHECK		CHECK
Вологда			
Вологодский поезд. Вологда. Поезд	У Анненского это значит "поезд Петербург-Вологда", очевидно		У Анненского это значит "поезд Петербург-Вологда", очевидно
Воробьевка	Воробьевка, Золотухинский район Курской области		Воробьевка, Золотухинский район Курской области
Воронеж			
Вуоксенниска	IN: Иматра		IN: Иматра
Выра			
Выропаевка	DER	Это у Герцык (075-...) , Выропаевский цикл. Я бы  не меняла.	ВырЫпаевка (их несколько, все в Ульяновской области; но может быть и другая)
Вьетнам			
Вьетнам-Москва	Вьетнам. Москва		
Гапсаль	Хаапсалу		Хаапсалу
Гарц			
Гатчина			
Гейдельберг			
Геленджик			
Гелуан. Каир	Хелуан		Хелуан
Генуя			
Гиреево	IN: Москва		IN: Москва
Глотово			
Глушино			
Голицыно			
Гомбург	Бад-Хомбург-фор-дер-Хёэ		Бад-Хомбург-фор-дер-Хёэ
Гомель			
Гора. Inselsberg	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
госпиталь	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
госпиталь Москва	Москва		Москва
Грасс	Грас		Грас
Грузия			
Грязовец			
Гунгербург	Нарва-Йыэсуу		Нарва-Йыэсуу
Гунгербург	Нарва-Йыэсуу		
Дарачичак	Цахкадзор		Цахкадзор
Дарница	IN: Киев		IN: Киев
Дача Голова	UNKNOWN		UNKNOWN
двор. Киностудия. Ялта. Ялтинская киностудия	Ялта		
Дворцовая набережная	IN: Петербург		IN: Петербург
Дедово			
Действующая армия	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Демиевка	IN: Киев		IN: Киев
Демьяново			
Деревня. Витебск	DER. Витебск		
Дерпт	Тарту		Тарту
Детское Село	Пушкин		Пушкин
Детское Село	Царское Село		
Дикая дивизия	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Днепропетровск			
Долина Куры	Кура		Кура
дом поэта	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Дорнах			
Дорога. «Горный гигант». Алма-Ата	Алма-Ата		
Дорога. Eisenach. Coburg	Айзенах. Кобург		Айзенах. Кобург
Дорога. Salzburg. Konigsee	Зальцбург. Кёнигсзее	CHECK умлаут	Зальцбург. Кёнигсзе (правильно Königssee)
дорога. Байрейт. Лейпцигейпциг	Лейпциг		ОПЕЧАТКА: Лейпциг
дорога. Гостиница «Дом Советов»	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
дорога. Коктебель	Коктебель		
дорога. Русская граница	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
дорога. Сестрорецк	Сестрорецк		
Дорога. Средняя Рогатка. Петербург	IN: Петербург		IN: Петербург
ДСН	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Дубровник			
Дуфиновка. Одесса	Дофиновка		Дофиновка
Дылицы			
Дыльцы	Дылицы		Дылицы
Дюрмень	Придорожное		Придорожное
Евпатория			
Екатеринослав	Днепропетровск		Днепропетровск
Екатеринослав	Днепропетровск		
Елагин остров	IN: Петербург		IN: Петербург
Елец			
Елизаветино	Елизаветино Гатчинского района		Елизаветино Гатчинского района
Елисаветино. Дылицы	Елизаветино Гатчинского района. Дылицы		Елизаветино Гатчинского района. Дылицы
Елисаветполь	Гянджа		Гянджа
Ефремов			
Ж…н	UNKNOWN		UNKNOWN
Железная дорога. Рыбинск. Пароход. Волга	Рыбинск		
Железноводск			
Живодовка			
Жлобин-Гомель. Вагон	Жлобин. Гомель		
Завод им. К. Маркса	CHECK		CHECK
Завражье	DER		DER
Загородная больница	Кунцево. IN: Москва		Кунцево IN: Москва
Загородный, 16	IN: Петербург		IN: Петербург
Загородный, 16 	Загородный, 16. IN: Петербург		ОПЕЧАТКА? Почему 2 раза? Смешана латиница? Проверить
Заозерье	DER		DER
Западный фронт	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Звенигород			
Зегеволд	Сигулда		
Зегеволъд	Сигулда		Сигулда (ОПЕЧАТКА: Зегевольд)
Зеленогорск			
Зеленый базар. Винный магазин. Табачный магазин. Улица	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Зыково	DER		DER
Иваново			
Игино			
Иеве. Тойла	Йыхви. Тойла		Йыхви. Тойла
Изумрудный Поселок	CHECK		CHECK
Илецкая Защита	Соль-Илецк		Соль-Илецк
Ильиновка	Ильиновка Тамбовской области? (см. следующую локацию)		Ильиновка Тамбовской области? (см. следующую локацию)
Ильиновка. Тамбов			
Им. Бельск	CHECK		CHECK
Иматра			
Иокогама. Япония			
Ионическое море			
Иркутск			
Иркутск. Москва			
Исаакиевский собор	IN: Петербург		IN: Петербург
Искио	Искья		Искья
Итака	уточнить какая		уточнить какая
Италия			
К. Валькиала	DER		это в Финляндии, но на современной карте найти почти не удаётся. Видимо, в черте города Коувола, но я не уверен
Каболовка	IN: Парголово		IN: Парголово
Кавантсари	Возрождение, Ленинградская область		Возрождение Ленинградской области
Кавантсари. Пансион	Возрождение, Ленинградская область		Возрождение Ленинградской области
Кавказ			
Кадая	Кадая, Забайкальский край		Кадая, Забайкальский край
Кадая, деревня	Кадая, Забайкальский край		Кадая, Забайкальский край
Кади-Кэй	Кадыкёй. IN: Стамбул		Кадыкёй IN: Стамбул
Казань			
Казахстан			
Калуга			
Кама			
Каменный остров	Петербург		Петербург
Канашово	DER		DER
Капбретон			
Капри			
Капри. Неаполь			
Кара			
Карлсбад	Карловы Вары		Карловы Вары
Каспийское море. Волга			
Каспийское море. Волга. Петербург			
Квантун. порт Дальний	Далянь		Далянь
Кембридж			
Кенигсберг	Калининград		Калининград
Кенигсберг	Калининград		
Керчь			
Кзыл-Ту	DER		DER
Киев			
Кисловодск			
Кишкинка, деревня. Орловская губерния	Кишкинка. IN: Орловская губерния		
Княжнино. Кострома	Княгинино?	CHECK	Княгинино?
Коктебель	Коктебельл		ОПЕЧАТКА? Почему два? Смешение?
Коктебель 			
Коломна			
Колхоз 13-й Октябрь. Орел			
Комарово	IN: Петербург		IN: Петербург
Комарово. Будка			
Комарово. Красная Конница	Комарово. Кавалергардская улица. IN: Петербург		Красная Конница => Кавалергардская улица IN: Петербург
Комарово. Озерная			
Комсомольская, 17	CHECK; DER		CHECK; DER
Конколевница	Конколевница-Всходня		Конколевница-Всходня
Константиново	DER		DER
Константинополь	Стамбул		Стамбул
Константинополь	Стамбул		
Константинополь. София	Стамбул. София		Стамбул. София
Коридор «Алатау». Алма-Ата	Алма-Ата		
коридор «ДомаСоветов». Троллейбус .кКноактерсккаяшкола	Алма-Ата		Алма-Ата?
коридор. «Ала-тау». Алма-Ата	Алма-Ата		
Котка			
Красная Конница	Кавалергардская улица. IN: Петербург		Кавалергардская улица IN: Петербург
Красная Пахра			
Красная Поляна			
Краснее Село	Красное Село		ОПЕЧАТКА: Красное Село
Красное Село			
Красный каменный дуб	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Кратово Прозоровка	Кратово (Прозоровка)		Кратово и Прозоровка -- одно и то же! 
Крепость Усть-Каменогорская	Усть-Каменогорск		Усть-Каменогорск
Крестовский остров	IN: Петербург		IN: Петербург
Кресты	IN: Петербург		IN: Петербург
Кривцово	DER		DER
Кронштадт			
Крым			
Крюково	DER		DER
Кудиново	DER		DER
Кунцево	IN: Москва		IN: Москва
Куоккала	Репино		Репино
Курган			
Курган, Крюково	Курган. DER		SEE: Крюково
Кутаиси			
Ла Фавьер	Ла-Фавьер		Ла-Фавьер
Лаванду	Ле-Лаванду		Ле-Лаванду
Лес Жемчужникова	UNKNOWN		UNKNOWN
Лесной	IN: Петербург		IN: Петербург
Лечебница доктора Постникова	ГБУЗ "Самарский областной клинический противотуберкулёзный диспансер имени Н.В. Постникова". IN: Самара		ГБУЗ "Самарский областной клинический противотуберкулёзный диспансер имени Н.В. Постникова" :)
Лигово. Вагон	IN: Петербург		IN: Петербург
Лидино	IN: Бологовский район, Тверская область		IN: Бологовский район Тверской области
Лицей	CHECK		CHECK
Лозанна			
Лондон			
Лота	CHECK; в Чили?		CHECK; в Чили?
Лубянка. Караганда	Лубянка. IN:Москва		Лубянка IN:Москва
Луга			
Луга. Петербург. Загородный, 16	Загородный, 16. IN: Петербург		Загородный, 16 IN: Петербург
Львов. Красне	Красное Бусского района Львовской области		Красное Бусского района Львовской области
Ля Панн	Де-Панне		Де-Панне
Магдебург			
Малая Азия			
Малевка	IN: Тульская область; ОПЕЧАТКА? CHECK	xx\bely\bely-233 Встречается всего один раз	IN: Тульская область; ОПЕЧАТКА? CHECK
Малеевка	DER; ОПЕЧАТКА? CHECK		DER; ОПЕЧАТКА? CHECK
Малиновая гора	IN: Челябинская область; CHECK	xx\blok\blok2-0658	IN: Челябинская область; CHECK
Мариенбад	Марианске-Лазне		Марианске-Лазне
Массандра. Крым	Массандра. IN: Крым		
Медон			
Между Луцком и Ковелем	Луцк. Ковель		Луцк. Ковель
Ментона			
Меррекюль. Эстляндская губерния	Мерикюла. IN: Ида-Вирумаа		Мерикюла=Meriküla IN: Ида-Вирумаа
Милан			
Минск			
Миракс	UNKNOWN		UNKNOWN
Мисгор	Мисхор		
Мисгор	Мисхор. IN: Кореиз		Мисхор IN: Кореиз
Мисхор	Мисхор. IN: Кореиз		Мисхор IN: Кореиз
Михайловское	Михайловское. IN: Псковская область.		пушкинское? IN: Псковская область. DER?
Михайловское. Петербург	Михайловское. IN: Псковская область. Петербург.		SEE Михайловское
Молотов	Пермь		
Монголия. Москва			
Москва	Москва		ОПЕЧАТКА? CHECK
Москва 	Москва		ОПЕЧАТКА? CHECK
Москва, Лаврушинский переулок	Лаврушинский переулок. IN: Москва		
Москва. Арбат	Арбат. IN: Москва		
Москва. Болъшая Садовая	Большая Садовая улица. IN: Москва		ОПЕЧАТКА: Большая
Москва. Боткинская больница	2-й Боткинский проезд. IN: Москва		2-й Боткинский проезд IN: Москва
Москва. Комарово			
Москва. Нащокинский. Ардовы	Нащокинский переулок. IN: Москва		Нащокинский переулок IN: Москва
Москва. Ордынка	Ордынка. IN: Москва		
Москва. Петербургское шоссе 19	Ленинградский проспект. IN: Москва		Ленинградский проспект IN: Москва
Москва. Садовая	Большая Садовая. IN: Москва		Большая Садовая IN: Москва
Москва. Сивцев Вражек	Сивцев Вражек. IN: Москва		
Москва. Цоссен			
Московский уезд	IN: Московская область		IN: Московская область
мрак	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Мраморный дворец	IN: Петербург		IN: Петербург
МТС Кокчетавской области	IN: Акмолинская область		IN: Акмолинская область
Мураново	IN: Московская область		IN: Московская область
Муром			
Мустамяки	Горьковское, Ленинградская область		Горьковское (Ленинградская область)
Мыза Ивановка	Мыза-Ивановка		Мыза-Ивановка
Мыза Пустомержа	Большая Пустомержа		Большая Пустомержа
Мыза Смерди	Смерди		Смерди
Мюнхен			
Н.Петергоф	IN: Петергоф. IN: Петербург		IN: Петергоф IN: Петербург
Набатово	IN: Нижегородская область		IN: Нижегородская область?
Надовражино			
Название в тексте	Нормализация	Нерешенное	Нормализация
Неаполитанский залив			
Неаполь			
Невская застава	IN: Петербург		IN: Петербург
Нижний Новгород			
Нижняя Волга			
Низ	DER		DER
Николаев			
Николаевская, 73	улица Марата. IN: Петербург		улица Марата IN: Петербург
Нилова Пустынь	Нило-Столобенская пустынь		Нило-Столобенская пустынь
Ницца			
Новгород	Великий Новгород		Великий Новгород
Ново-Белица	Новобелица. IN: Гомель		Новобелица IN: Гомель
Новознаменское	Тверская область? DER		Тверская область? DER
Новороссийск			
Новый Афон			
Носковицы	Носковцы (Носківці). IN: Винницкая область		Носковцы (Носківці) IN: Винницкая область
Носковицы. Подольская губерния	Носковцы (Носківці). IN: Винницкая область		Носковцы (Носківці) IN: Винницкая область
Нью-Йорк			
Обуховка	CHECK: IN: Миргородский район Полтавской области		CHECK: IN: Миргородский район Полтавской области
Обуховы	CHECK		CHECK
Овруч-Гладковичи	Овруч. Гладковичи		Овруч. Гладковичи (два разных населенных пункта!)
Оденвальд	IN: Германия		IN: Германия
Одесса			
Одесса - Яссы	Одесса. Яссы		
Озеро Баклан	IN: Ростовская облатсь		IN: Ростовская облатсь
Оксфорд			
Ольгино	IN: Петербург		IN: Петербург
Омск			
Опалила	Опалиха		ОПЕЧАТКА: Опалиха
Опалиха	IN: Красногорск		IN: Красногорск
Ораниенбаум	Ломоносов		Ломоносов
Ордынка	IN: Москва		IN: Москва
Ордынка. Комарово	Ордынка. IN: Москва. Комарово. IN: Петербург		SEE: Ордынка, Комарово
Ордынка. Ярославское шоссе	IN: Москва		IN: Москва
Ореанда	IN: Ялта		IN: Ялта
Орел			
Оспедалетти			
Остоженка	IN: Москва		IN: Москва
охотничий дворец Павла I			
Охотское море			
Павловка	DER		DER
Павловск			
павлодар	Павлодар		Павлодар
Павлодар			
Павлодар - Семипалатинск	Павлодар. Семей		Семипалатинск => Семей
Палермо			
Палланца	IN: Вербания		IN: Вербания
Пальна	DER		DER
Париж	Париж		ОПЕЧАТКА? дубль
Париж 			
Париж. Theatre des Ambassadeures	Theatre des Ambassadeures. IN: Париж		
Пароход «Гелламо»	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Пароход «Тамань»	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Пароход Elbe	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Пароход. Ангара	Ангара		Ангара
Пенза. Самара. Уфа			
Переделкино			
Песочная бухта			
Петербург			
Петербург?	Петербург		
Петербург. Больница. Гавань	Большой проспект В. О., 85. IN: Петербург		Петербург, Большой проспект В. О., 85
Петербург. Боткинская, 9	Боткинская, 9. IN: Петербург		
Петербург. Боткинские бараки	Миргородская, 3. IN: Петербург		Петербург, Миргородская, 3
Петербург. Вагон	Петербург		
Петербург. Ермоловская	Сестрорецк		Сестрорецк
Петербург. Загородный, 16	Загородный, 16. IN: Петербург		
Петербург. Казанская, 2	Казанская, 2. IN: Петербург		
Петербург. Красная Конница	Кавалергардская улица. IN: Петербург		Петербург. Кавалергардская улица
Петербург. Крестовский Остров	Крестовский остров. IN: Петербург		
Петербург. Москва			
Петербург. Николаевская, 73	улица Марата. IN: Петербург		улица Марата
Петербург. Песочная	улица Профессора Попова. IN: Петербург		улица Профессора Попова
Петербург. Садовая, 6	Садовая, 6. IN: Петербург		
Петербург. Сергиевская, 7	улица Чайковского. IN: Петербург		улица Чайковского
Петербург. Ташкент			
Петербург. Троицкий мост	Троицкий мост. IN: Петербург		
Петербург. Фонтанка	Фонтанка. IN: Петербург		
Петербург. Фонтанный Дом	набережная реки Фонтанки, 34. IN: Петербург		набережная реки Фонтанки, 34
Петербург. Шереметевский дом	набережная реки Фонтанки, 34. IN: Петербург		набережная реки Фонтанки, 34
Петергоф	Петергоф. IN: Петербург		
Петровск-порт	Махачкала		Махачкала
Петровское	DER		DER
Петровское-Разумовское	IN: Москва		IN: Москва
Петровское. Истра	Петрово-Дальнее		Петрово-Дальнее
Печерск. Санаторий	IN: Киев		IN:Киев
Пешком «Горный гигант». Алма-Ата	Алма-Ата		
Пешком. «Горный гигант». Алма-Ата	Алма-Ата		
Пирожково			
Пирожково. Орловская губерния	UNKNOWN		UNKNOWN
Поволжье			
Поворовка	IN: Поварово		IN:Поварово
Подольск			
Поезд «Москва-Лена». Поезд	Москва. Лена		
Поезд. Бернгардовка. Петербург	Бернгардовка. IN:Всеволожск		Бернгардовка IN:Всеволожск
поезд. Бернгардовка. Петербург	Бернгардовка. Петербург		
Поезд. Париж. Тулуза	Париж. Тулуза		
поезд. Сухиничи. Калуга	Сухиничи. Калуга		
Покровское	DER		DER
поле	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Поле за Петербургом	Петербург		Петербург
полевой госпиталь	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Польша			
Поляна. Прасолов	UNKNOWN		UNKNOWN
Поляна. Прасолов. Прасолов-Эскинский	UNKNOWN		UNKNOWN
Помпеи			
Почтовый тракт. Вологда. Тотьма	Вологда. Тотьма		
Пречистенский бульвар	Гоголевский бульвар. IN: Москва		Гоголевский бульвар IN: Москва
Прозоровка	DER		DER
Пролив Лашруза	Пролив Лаперуза		ОПЕЧАТКА: Пролив Лаперуза
Прушков	Прушкув		Прушкув
Псков			
Пулковское шоссе	IN: Петербург		IN: Петербург
Пушкин	Царское Село		
Пушкин. Фонтанный Дом	набережная реки Фонтанки, 34. IN: Петербург		набережная реки Фонтанки, 34
Пюжет	Пюже		Пюже
Пятигорск			
Разлив	IN: Сестрорецк		IN: Сестрорецк
Райзенгебирге	Крконоше		Крконоше
Рафаловка			
Ревель	Таллин		Таллин
Речка Кунья	CHECK		CHECK
Рига. Берлин			
Риги Кульм	IN: кантон Швиц, Швейцария		IN: кантон Швиц. Швейцария
Рим			
Рим. Москва			
Ромен	Ромны		SEE:Ромны
Ромны			
Ростов. Дон			
Рунторт	Рунданы. IN: Латвия		Рунданы IN: Латвия
Рыбница			
Рязань			
Саблино	IN: Ульяновка, Ленинградская область		IN: Ульяновка Ленинградской области
Саблино. Петербург			
Савойя			
Садовая, 6	CHECK		CHECK
Сальмела	IN: Ориматтила		IN: Ориматтила
Самара			
Самарканд. Ашхабад			
самолет . Ташкент	Ташкент		
Сан-Идельсбад	Синт-Идесбалд		Синт-Идесбалд
Свердловск	Екатеринбург		Екатеринбург
Свердловск. Переделкино	Екатеринбург. Переделкино		Екатеринбург. Переделкино
Святые Горы	IN: Донецкая область		IN: Донецкая область
Севастополь			
Северо-Кавказский фронт	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Севилья			
Севск			
Семенов. Петербург			
Сена. Медон			
Сенежское озеро			
Сергиев Посад			
Сергиево	UNKNOWN		UNKNOWN
Серебряный Колодезь	IN: Новодеревеньковский район, Орловская область		IN: Новодеревеньковский район Орловской области
Серебряный Колодезь	Серебряный Колодезь		ОПЕЧАТКА? Повтор
Сибирь			
Сиверская	Сиверский Ленинградской области		Сиверский Ленинградской области
Симбирск	Ульяновск		Ульяновск
Симеиз. Васильсурск			
Симферололь			
Симферополь			
Симферополь. Вагон	Симферополь		
Скуляны	Скулень		Скулень
Слепнево			
Смоленское кладбище	IN: Петербург		IN: Петербург
Сокологорное			
Сольес-Пон			
сон	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
сон. спросонья	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Сорренто			
Сталино, гостиница	Донецк		Донецк
Старая Деревня. Поле	IN: Петербург		IN: Петербург
Старая Русса			
Старки	Старки, Московская область		Старки, Московская область
Старки. Москва			
Старое	DER		DER
Старое Село	DER		DER
Старый Крым			
Старый Петергоф			
Стенькино			
Студия	НЕ ЛОКАЦИЯ?		НЕ ЛОКАЦИЯ?
Судак			
Суйда			
Сухиничи			
Сухум-Кале	Сухум		Сухум
Таганрог			
Таллин			
Тамбов			
Ташкент			
Ташкент. Балахана			
Ташкент. Москва			
Ташкент. Париж			
Ташкент. ТАШМИ	Ташкент		
Ташкент. ТАШМИ. Тифозный бред	Ташкент		
Тверь			
Тверь. Москва			
теплушка. Брянск.  Живодовка. Поезд	Брянск. Живодовка		
Теплушка. Живодовка. Сухиничи. Поезд	Живодовка. Сухиничи		
Териоки	Зеленогорск		Зеленогорск
Тиаис	Тье		Тье
Тирасполь			
Тифлис	Тбилиси		Тбилиси
Тифлис	Тбилиси		
Томилино			
Томск			
Тотьма			
Тризино, деревня	Тризино		
троллейбус	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
троллейбус. Базар	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Трубицыно	DER		DER
Тун. Швейцария			
Уапь-Цильма	Усть-Цильма		ОПЕЧАТКА: Усть-Цильма
Удельная, станция	IN: Петербург		IN: Петербург
Узкое	IN: Москва		IN: Москва
Ул. Фурманова. Базар	IN: Алма-Ата		IN: Алма-Ата?
ул. Фурманова. Базар. «Дом Советов»	Алма-Ата		Алма-Ата?
улица Фурманова	Алма-Ата		Алма-Ата?
Усадьба «Лука»	CHECK		CHECK
Феодосия			
Физический институт	НЕ ЛОКАЦИЯ		НЕ ЛОКАЦИЯ
Финляндская ж/д			
Финляндская ж/д. Райвола	Рощино, Ленинградская улица		Рощино, Ленинградская улица
Финский залив 			
Флоренция			
Флоренция ?	Флоренция		
Фонтанный Дом	набережная реки Фонтанки, 34. IN: Петербург		набережная реки Фонтанки, 34
Фонтанный дом	набережная реки Фонтанки, 34. IN: Петербург		набережная реки Фонтанки, 34
Фонтанный Дом. Красная Конница	набережная реки Фонтанки, 34. Кавалергардская улица. IN: Петербург		набережная реки Фонтанки, 34; Кавалергардская улица
Фрайбург	Фрибур		Фрибур
Франция			
Фрейбург. Швейцария	Фрибур		Фрибур
Фрейбурга. Швейцария	Фрибур		Фрибур (ОПЕЧАТКА: Фрайбург?)
Фронт	НЕ ЛОКАЦИЯ		Не локация
Харьков			
